label,date_start,date_end,trading_days,principal,final_value,total_return,cagr,irr_annual,max_drawdown,sharpe
基准：每日定投,2021-01-04,2025-12-31,1255,125500.0,196929.6491138638,0.569160550708078,0.094522664601562,0.18441672021155653,-0.21910767800118228,0.6324649232420475
改进：MA60/120 Z<-1.0 各加2份可叠加,2021-01-04,2025-12-31,1255,208100.0,344959.45169200323,0.6576619495050612,0.1066278432482195,,-0.1909460946802698,0.6389094962240274
