Date,Nasdaq_Close,MA60,STD60,Z_MA60,Extra_MA60Z,MA120,STD120,Z_MA120,Extra_MA120Z,N_Extra_Units,Portfolio_Value,Daily_Contribution,Cumulative_Principal,Cumulative_Return,Peak_Value,Drawdown,Daily_Strategy_Return
1998-08-06,1829.51,,,,False,,,,False,0,99.9,100.0,100.0,-0.0009999999999999432,99.9,0.0,-0.0009999999999999432
1998-08-07,1846.77,,,,False,,,,False,0,200.7424785871627,100.0,200.0,0.00371239293581354,200.7424785871627,0.0,0.004214500185906464
1998-08-10,1839.21,,,,False,,,,False,0,299.8207124018126,100.0,300.0,-0.0005976253272912876,299.8207124018126,0.0,-0.0030649683732088522
1998-08-11,1792.7,,,,False,,,,False,0,392.13883684991356,100.0,400.0,-0.0196529078752161,392.13883684991356,0.0,-0.019213300646062848
1998-08-12,1825.53,,,,False,,,,False,0,499.2201376887503,100.0,500.0,-0.0015597246224994025,499.2201376887503,0.0,0.01438882751900417
1998-08-13,1802.54,,,,False,,,,False,0,592.8331574882253,100.0,600.0,-0.011944737519624483,592.8331574882253,0.0,-0.010658821022204267
1998-08-14,1790.19,,,,False,,,,False,0,688.6713949226348,100.0,700.0,-0.01618372153909312,688.6713949226348,0.0,-0.0060068755668080485
1998-08-17,1818.04,,,,False,,,,False,0,799.285061264529,100.0,800.0,-0.0008936734193387963,799.285061264529,0.0,0.013457653479286262
1998-08-18,1855.12,,,,False,,,,False,0,915.4869523514625,100.0,900.0,0.017207724834958325,915.4869523514625,0.0,0.018016413020529056
1998-08-19,1842.69,,,,False,,,,False,0,1009.2528463002483,100.0,1000.0,0.00925284630024828,1009.2528463002483,0.0,-0.0061390311680307764
1998-08-20,1832.45,,,,False,,,,False,0,1103.5443342086244,100.0,1100.0,0.003222122007840343,1103.5443342086244,0.0,-0.0051462676978146285
1998-08-21,1797.61,,,,False,,,,False,0,1182.4628697191001,100.0,1200.0,-0.014614275234083228,1182.4628697191001,0.0,-0.017516151163127786
