Date,Nasdaq_Close,Shares_Bought,Cumulative_Shares,Cumulative_Principal,Portfolio_Value,Cumulative_Return,Peak_Value,Drawdown,Daily_Strategy_Return
1998-08-06,1829.51,0.05460478488775684,0.05460478488775684,100.0,99.9,-0.0009999999999999432,99.9,0.0,-0.0009999999999999432
1998-08-07,1846.77,0.05409444597865463,0.10869923086641146,200.0,200.7424785871627,0.00371239293581354,200.7424785871627,0.0,0.004214500185906464
1998-08-10,1839.21,0.05431679906046618,0.16301602992687764,300.0,299.8207124018126,-0.0005976253272912876,299.8207124018126,0.0,-0.0030649683732088522
1998-08-11,1792.7,0.05572599988843644,0.21874202981531407,400.0,392.13883684991356,-0.0196529078752161,392.13883684991356,0.0,-0.019213300646062848
1998-08-12,1825.53,0.05472383362639891,0.273465863441713,500.0,499.2201376887503,-0.0015597246224994025,499.2201376887503,0.0,0.01438882751900417
1998-08-13,1802.54,0.05542179369112475,0.32888765713283774,600.0,592.8331574882253,-0.011944737519624483,592.8331574882253,0.0,-0.010658821022204267
1998-08-14,1790.19,0.055804132522246246,0.384691789655084,700.0,688.6713949226348,-0.01618372153909312,688.6713949226348,0.0,-0.0060068755668080485
1998-08-17,1818.04,0.05494928604431146,0.4396410756993955,800.0,799.285061264529,-0.0008936734193387963,799.285061264529,0.0,0.013457653479286262
1998-08-18,1855.12,0.05385096381905214,0.4934920395184476,900.0,915.4869523514625,0.017207724834958325,915.4869523514625,0.0,0.018016413020529056
1998-08-19,1842.69,0.05421421942920405,0.5477062589476517,1000.0,1009.2528463002483,0.00925284630024828,1009.2528463002483,0.0,-0.0061390311680307764
1998-08-20,1832.45,0.054517176457747826,0.6022234354053995,1100.0,1103.5443342086244,0.003222122007840343,1103.5443342086244,0.0,-0.0051462676978146285
1998-08-21,1797.61,0.05557378964291477,0.6577972250483143,1200.0,1182.4628697191001,-0.014614275234083228,1182.4628697191001,0.0,-0.017516151163127786
1998-08-24,1790.82,0.055784500954869844,0.7135817260031841,1300.0,1277.8964265610223,-0.01700274879921363,1277.8964265610223,0.0,-0.003560682547540765
1998-08-25,1798.17,0.05555648242379753,0.7691382084269817,1400.0,1383.0412522471456,-0.012113391252038842,1383.0412522471456,0.0,0.0037338261330453447
1998-08-26,1768.13,0.05650037044787431,0.8256385788748559,1500.0,1459.836340465999,-0.026775773022667333,1459.836340465999,0.0,-0.015646841748997803
1998-08-27,1686.41,0.059238263530221005,0.8848768424050769,1600.0,1492.2651558003458,-0.06733427762478385,1492.2651558003458,0.0,-0.04331940660227621
1998-08-28,1639.68,0.06092652224824356,0.9458033646533205,1700.0,1550.8148609547566,-0.08775596414426085,1550.8148609547566,0.0,-0.026032281554735425
