排序组合序号,组合e_d_pct,组合e_ab_pct,组合e_bc_pct,代码,买入日,卖出日,卖出相对日,档位,买入价,卖出价,收益率_pct,平仓原因,平仓价来源
1,-0.46,2.43,7.0,002342.SZ,20251231,20260105,D3,A,8.59,9.07,5.5879,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,002353.SZ,20251204,20251208,D2,A,65.91,71.37,8.284,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002361.SZ,20260206,20260209,D1,A,14.1,15.52,10.0709,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002384.SZ,20260311,20260312,D1,A,109.33,109.3,-0.0274,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,002413.SZ,20260107,20260109,D2,B,15.326,17.32,13.0106,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002414.SZ,20251223,20251225,D2,A,14.78,15.19,2.774,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,002440.SZ,20260129,20260202,D2,A,11.0,12.59,14.4545,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002446.SZ,20260116,20260119,D1,D,14.3,12.09,-15.4545,开盘触及止损(-7%),开盘
1,-0.46,2.43,7.0,002455.SZ,20260202,20260205,D3,B,9.5933,10.78,12.3701,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002465.SZ,20251230,20260101,D2,D,15.0,16.5,10.0,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002478.SZ,20260227,20260303,D2,A,12.71,12.27,-3.4618,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,002487.SZ,20260313,20260316,D1,A,73.7774,81.289,10.1814,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002491.SZ,20260203,20260204,D1,D,8.6,9.38,9.0698,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002498.SZ,20260416,20260421,D3,A,8.5,9.31,9.5294,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002506.SZ,20260304,20260305,D1,D,4.94,5.29,7.085,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002565.SZ,20251204,20251208,D2,D,10.6,13.09,23.4906,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002606.SZ,20260203,20260205,D2,D,11.69,11.6,-0.7699,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,002636.SZ,20251106,20251111,D3,A,15.96,19.44,21.8045,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002648.SZ,20260309,20260310,D1,C,28.128,25.63,-8.8808,开盘触及止损(-7%),开盘
1,-0.46,2.43,7.0,002728.SZ,20251126,20251128,D2,A,13.51,14.83,9.7705,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002759.SZ,20251126,20251201,D3,D,43.0,42.65,-0.814,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,002805.SZ,20251120,20251121,D1,A,20.15,18.14,-9.9752,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,002837.SZ,20251218,20251219,D1,A,95.01,91.13,-4.0838,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,002851.SZ,20251225,20251226,D1,D,93.35,87.97,-5.7633,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,002897.SZ,20251110,20251111,D1,C,54.2784,50.3,-7.3296,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,002943.SZ,20260414,20260415,D1,B,53.1851,53.54,0.6673,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,002957.SZ,20260420,20260422,D2,C,47.4912,49.86,4.9879,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,002980.SZ,20260414,20260415,D1,A,59.6,68.43,14.8154,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,002995.SZ,20260130,20260203,D2,B,32.01,36.1,12.7773,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,003031.SZ,20251211,20251215,D2,A,72.17,71.03,-1.5796,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,300058.SZ,20260113,20260114,D1,C,21.6,20.12,-6.8519,开盘触及止损(-7%),开盘
