轮次,方案标签,止损_sl,止盈_tp,成交笔数,收益合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值
B,B|盘中 SL=-10.0% TP=10.0%,-0.1,0.1,36,250.4338,6.9565,0.8593,77.7778,8.0957,13.8853,1.4517,5.081
B,B|盘中 SL=-10.0% TP=6.5%,-0.1,0.065,43,207.9472,4.836,0.7713,81.3953,6.2697,14.0467,1.0031,4.3886
B,B|盘中 SL=-10.0% TP=8.0%,-0.1,0.08,34,181.1959,5.3293,0.7102,76.4706,7.5044,13.0155,1.2162,3.9527
B,B|基准 SL=-7.0% TP=7.0%（开盘/盘中同档）,-0.07,0.07,57,62.8243,1.1022,0.159,47.3684,6.9326,32.6981,1.5554,1.3999
