轮次,方案标签,A_LO,A_HI,B_HI,B_MULT,C_MULT,与仓库基准买入一致,成交笔数,收益合计_pct,固定份额0p5_合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值,份额合计,加权收益合计_pts,加权收益率合计_pct,加权笔均_pct,加权胜率_pct,夏普_笔收益_加权,波动率_笔收益标准差_pct_加权,最大回撤_链式净值_pct_加权,盈亏比_均盈除以均亏绝对值_加权,盈亏比_总盈利除以总亏损绝对值_加权
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=8.0%·B×=0.96·C×=0.97,-0.05,0.04,0.08,0.96,0.97,False,153,313.9592,156.9796,2.052,0.2846,56.2092,7.2095,32.8975,1.5109,2.0303,54.0,128.27,256.5401,2.3754,57.2222,0.3316,2.711,14.9441,1.7139,2.3031
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=8.0%·B×=0.96·C×=0.97,-0.04,0.04,0.08,0.96,0.97,False,153,313.9592,156.9796,2.052,0.2846,56.2092,7.2095,32.8975,1.5109,2.0303,54.0,128.27,256.5401,2.3754,57.2222,0.3316,2.711,14.9441,1.7139,2.3031
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.06,0.04,0.07,0.98,0.96,False,159,312.2226,156.1113,1.9637,0.2729,54.0881,7.1953,31.1491,1.5912,1.9549,56.0,129.572,259.1439,2.3138,55.7143,0.3233,2.6983,11.1418,1.8186,2.2343
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.05,0.04,0.07,0.98,0.96,False,159,312.2226,156.1113,1.9637,0.2729,54.0881,7.1953,31.1491,1.5912,1.9549,56.0,129.572,259.1439,2.3138,55.7143,0.3233,2.6983,11.1418,1.8186,2.2343
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.04,0.04,0.07,0.98,0.96,False,159,312.2226,156.1113,1.9637,0.2729,54.0881,7.1953,31.1491,1.5912,1.9549,56.0,129.572,259.1439,2.3138,55.7143,0.3233,2.6983,11.1418,1.8186,2.2343
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.06,0.04,0.06,0.98,0.96,False,156,311.6194,155.8097,1.9976,0.279,55.7692,7.1585,32.8771,1.513,1.9944,55.25,129.4212,258.8423,2.3425,56.9231,0.3285,2.7052,14.8622,1.7251,2.2741
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.05,0.04,0.06,0.98,0.96,False,156,311.6194,155.8097,1.9976,0.279,55.7692,7.1585,32.8771,1.513,1.9944,55.25,129.4212,258.8423,2.3425,56.9231,0.3285,2.7052,14.8622,1.7251,2.2741
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.04,0.04,0.06,0.98,0.96,False,156,311.6194,155.8097,1.9976,0.279,55.7692,7.1585,32.8771,1.513,1.9944,55.25,129.4212,258.8423,2.3425,56.9231,0.3285,2.7052,14.8622,1.7251,2.2741
买1+2,买扫|A_LO=-6.0%·A_HI=3.0%·B_HI=8.0%·B×=0.96·C×=0.95,-0.06,0.03,0.08,0.96,0.95,False,140,311.337,155.6685,2.2238,0.3138,59.2857,7.0872,22.5133,1.4376,2.2097,50.5,133.588,267.1761,2.6453,60.8911,0.3742,2.7471,9.9884,1.6839,2.5883
买1+2,买扫|A_LO=-5.0%·A_HI=3.0%·B_HI=8.0%·B×=0.96·C×=0.95,-0.05,0.03,0.08,0.96,0.95,False,140,311.337,155.6685,2.2238,0.3138,59.2857,7.0872,22.5133,1.4376,2.2097,50.5,133.588,267.1761,2.6453,60.8911,0.3742,2.7471,9.9884,1.6839,2.5883
买1+2,买扫|A_LO=-4.0%·A_HI=3.0%·B_HI=8.0%·B×=0.96·C×=0.95,-0.04,0.03,0.08,0.96,0.95,False,140,311.337,155.6685,2.2238,0.3138,59.2857,7.0872,22.5133,1.4376,2.2097,50.5,133.588,267.1761,2.6453,60.8911,0.3742,2.7471,9.9884,1.6839,2.5883
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.96·C×=0.97,-0.06,0.04,0.07,0.96,0.97,False,153,310.8667,155.4333,2.0318,0.2816,56.2092,7.2161,32.8975,1.5009,2.0169,54.0,127.4969,254.9938,2.3611,57.2222,0.3294,2.7127,14.9441,1.7057,2.2921
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.96·C×=0.97,-0.05,0.04,0.07,0.96,0.97,False,153,310.8667,155.4333,2.0318,0.2816,56.2092,7.2161,32.8975,1.5009,2.0169,54.0,127.4969,254.9938,2.3611,57.2222,0.3294,2.7127,14.9441,1.7057,2.2921
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.96·C×=0.97,-0.04,0.04,0.07,0.96,0.97,False,153,310.8667,155.4333,2.0318,0.2816,56.2092,7.2161,32.8975,1.5009,2.0169,54.0,127.4969,254.9938,2.3611,57.2222,0.3294,2.7127,14.9441,1.7057,2.2921
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.95,-0.06,0.04,0.06,0.98,0.95,False,152,307.7182,153.8591,2.0245,0.2848,55.9211,7.1078,32.8771,1.5237,2.0236,54.4,128.9752,257.9503,2.3709,57.0772,0.3339,2.7231,14.8622,1.7348,2.3041
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.95,-0.05,0.04,0.06,0.98,0.95,False,152,307.7182,153.8591,2.0245,0.2848,55.9211,7.1078,32.8771,1.5237,2.0236,54.4,128.9752,257.9503,2.3709,57.0772,0.3339,2.7231,14.8622,1.7348,2.3041
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=6.0%·B×=0.98·C×=0.95,-0.04,0.04,0.06,0.98,0.95,False,152,307.7182,153.8591,2.0245,0.2848,55.9211,7.1078,32.8771,1.5237,2.0236,54.4,128.9752,257.9503,2.3709,57.0772,0.3339,2.7231,14.8622,1.7348,2.3041
