轮次,方案标签,止损_sl,止盈_tp,sse_tail_exit,开盘成交数,破位成交数,D1弱转弱到期笔数,成交笔数,收益合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值
E,E|无盘中·破MA5·SL=-7.0%·TP=7.0%,-0.07,0.07,ma5,47,41,63,151,322.8009,2.1378,0.2656,54.3046,8.0497,35.3822,1.6338,2.0298
E,E|无盘中·破MA5·SL=-10.0%·TP=10.0%,-0.1,0.1,ma5,29,51,71,151,361.9034,2.3967,0.2804,54.3046,8.5483,30.3428,1.7838,2.2163
E,E|无盘中·破MA5·SL=-10.0%·TP=6.5%,-0.1,0.065,ma5,43,45,63,151,347.3749,2.3005,0.2884,54.9669,7.9778,26.5888,1.7027,2.1742
E,E|无盘中·破MA5·SL=-10.0%·TP=8.0%,-0.1,0.08,ma5,38,47,66,151,358.8054,2.3762,0.2877,54.9669,8.2591,30.3428,1.7329,2.2128
E,E|无盘中·破MA5·SL=-8.0%·TP=8.0%,-0.08,0.08,ma5,43,44,64,151,348.7426,2.3096,0.278,54.9669,8.3068,31.2087,1.6759,2.14
E,E|无盘中·破MA5·SL=-8.0%·TP=7.0%,-0.08,0.07,ma5,46,42,63,151,330.4024,2.1881,0.2731,54.9669,8.0124,30.1051,1.629,2.0801
E,E|无盘中·破MA5·SL=-8.0%·TP=6.5%,-0.08,0.065,ma5,48,42,61,151,337.3121,2.2339,0.2783,54.9669,8.0266,30.1051,1.6467,2.1027
E,E|无盘中·破MA5·SL=-8.0%·TP=10.0%,-0.08,0.1,ma5,34,48,69,151,351.8406,2.3301,0.2711,54.3046,8.5946,31.2087,1.7255,2.1438
E,E|无盘中·破MA5·SL=-8.0%·TP=9.0%,-0.08,0.09,ma5,39,46,66,151,330.7698,2.1905,0.2642,54.3046,8.2896,31.2087,1.6704,2.0753
