策略,样本,胜率,盈亏比,单笔平均收益,总收益_线性,净值_顺序复利,未成交数
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.494624,1.820670,0.016374,1.522814,3.430405,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.537634,1.546969,0.016334,1.519018,3.471415,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.537634,1.546969,0.016334,1.519018,3.471415,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.505376,1.704294,0.016282,1.514182,3.387264,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.494624,1.756691,0.016187,1.505388,3.341627,0
扩展网格_止损-7|止盈6|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.473118,1.891686,0.016090,1.496401,3.315623,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.483871,1.872934,0.016064,1.493969,3.231450,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.473118,1.933787,0.016029,1.490692,3.318918,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.505376,1.677324,0.015991,1.487203,3.300694,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.494624,1.801168,0.015975,1.485642,3.309833,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.505376,1.702269,0.015965,1.484754,3.303891,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.505376,1.716335,0.015927,1.481242,3.192976,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.494624,1.728951,0.015874,1.476291,3.254278,0
扩展网格_止损-7|止盈12|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.317304,0.015870,1.475907,3.274869,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.516129,1.650583,0.015838,1.472915,3.270425,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.473118,1.922770,0.015827,1.471881,3.152692,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.516129,1.599967,0.015799,1.469343,3.242611,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.494624,1.738543,0.015787,1.468216,3.224175,0
