策略,样本,胜率,盈亏比,单笔平均收益,总收益_线性,净值_顺序复利,未成交数
扩展网格_止损-6|止盈10|强势阈值0.5|强势参考d0|最多D2|转弱阈值0(可成交),93,0.494624,1.514982,0.010974,1.020627,2.167552,0
扩展网格_止损-6|止盈10|强势阈值0.5|强势参考d0|最多D2|转弱阈值1(可成交),93,0.494624,1.514982,0.010974,1.020627,2.167552,0
扩展网格_止损-7|止盈9|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值0(可成交),93,0.569892,1.143714,0.010973,1.020506,2.211922,0
扩展网格_止损-7|止盈9|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值-2(可成交),93,0.569892,1.143714,0.010973,1.020506,2.211922,0
扩展网格_止损-7|止盈9|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值1(可成交),93,0.569892,1.143714,0.010973,1.020506,2.211922,0
扩展网格_止损-7|止盈9|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值-1(可成交),93,0.569892,1.143714,0.010973,1.020506,2.211922,0
扩展网格_止损-6|止盈7|强势阈值0.0|强势参考prev_close|最多D5|转弱阈值0(可成交),93,0.537634,1.259890,0.010972,1.020386,2.153973,0
扩展网格_止损-3|止盈6|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.430108,1.912668,0.010969,1.020162,2.104555,0
扩展网格_止损-6|止盈8|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.548387,1.207148,0.010968,1.020030,2.153480,0
扩展网格_止损-7|止盈9|强势阈值2.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.516129,1.431236,0.010967,1.019892,2.183069,0
扩展网格_止损-6|止盈10|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.440860,1.818766,0.010956,1.018895,2.049716,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值-1(可成交),93,0.548387,1.231823,0.010951,1.018475,2.158369,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值-1(可成交),93,0.548387,1.231823,0.010951,1.018475,2.158369,0
扩展网格_止损-5|止盈12|强势阈值0.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.408602,2.047072,0.010950,1.018384,1.984834,0
扩展网格_止损-5|止盈10|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.451613,1.776052,0.010947,1.018025,2.081129,0
扩展网格_止损-6|止盈9|强势阈值0.5|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.451613,1.770653,0.010940,1.017431,2.085632,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考prev_close|最多D4|转弱阈值-2(可成交),93,0.537634,1.260685,0.010938,1.017247,2.149557,0
扩展网格_止损-6|止盈7|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值1(可成交),93,0.548387,1.226274,0.010937,1.017123,2.176236,0
扩展网格_止损-6|止盈7|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值1(可成交),93,0.548387,1.226274,0.010937,1.017123,2.176236,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考prev_close|最多D2|转弱阈值-1(可成交),93,0.569892,1.124540,0.010937,1.017114,2.184732,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考prev_close|最多D2|转弱阈值-2(可成交),93,0.569892,1.124540,0.010937,1.017114,2.184732,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考prev_close|最多D2|转弱阈值1(可成交),93,0.569892,1.124540,0.010937,1.017114,2.184732,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考prev_close|最多D2|转弱阈值0(可成交),93,0.569892,1.124540,0.010937,1.017114,2.184732,0
扩展网格_止损-5|止盈7|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.537634,1.253629,0.010935,1.016911,2.143877,0
扩展网格_止损-3|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.451613,1.752979,0.010930,1.016472,2.085304,0
扩展网格_止损-7|止盈12|强势阈值0.0|强势参考prev_close|最多D4|转弱阈值1(可成交),93,0.559140,1.170851,0.010923,1.015828,2.093887,0
扩展网格_止损-7|止盈12|强势阈值0.0|强势参考prev_close|最多D5|转弱阈值1(可成交),93,0.559140,1.170851,0.010923,1.015828,2.093887,0
扩展网格_止损-4|止盈6|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.440860,1.823346,0.010921,1.015612,2.086688,0
扩展网格_止损-6|止盈6|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.526882,1.298057,0.010919,1.015451,2.130537,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D2|转弱阈值0(可成交),93,0.505376,1.454534,0.010918,1.015399,2.175036,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D2|转弱阈值-1(可成交),93,0.505376,1.454534,0.010918,1.015399,2.175036,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D2|转弱阈值1(可成交),93,0.505376,1.454534,0.010918,1.015399,2.175036,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D2|转弱阈值-2(可成交),93,0.505376,1.454534,0.010918,1.015399,2.175036,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.526882,1.298980,0.010906,1.014239,2.134652,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.516129,1.387948,0.010903,1.013964,2.158846,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.516129,1.387948,0.010903,1.013964,2.158846,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.516129,1.387948,0.010903,1.013964,2.158846,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.516129,1.387948,0.010903,1.013964,2.158846,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.516129,1.387948,0.010903,1.013964,2.158846,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.516129,1.387948,0.010903,1.013964,2.158846,0
扩展网格_止损-6|止盈12|强势阈值1.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.462366,1.688888,0.010901,1.013780,2.015555,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.537634,1.249186,0.010895,1.013268,2.130977,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考prev_close|最多D5|转弱阈值0(可成交),93,0.548387,1.219752,0.010892,1.012951,2.085518,0
扩展网格_止损-6|止盈8|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.548387,1.224604,0.010891,1.012904,2.160753,0
扩展网格_止损-5|止盈8|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.537634,1.272241,0.010885,1.012299,2.157917,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.505376,1.446000,0.010881,1.011970,2.141469,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.505376,1.446000,0.010881,1.011970,2.141469,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.505376,1.446000,0.010881,1.011970,2.141469,0
扩展网格_止损-4|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.462366,1.671769,0.010881,1.011922,2.067601,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D2|转弱阈值-2(可成交),93,0.516129,1.427335,0.010879,1.011782,2.187003,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D2|转弱阈值1(可成交),93,0.516129,1.427335,0.010879,1.011782,2.187003,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D2|转弱阈值0(可成交),93,0.516129,1.427335,0.010879,1.011782,2.187003,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D2|转弱阈值-1(可成交),93,0.516129,1.427335,0.010879,1.011782,2.187003,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D2|转弱阈值-1(可成交),93,0.516129,1.426768,0.010867,1.010612,2.184613,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D2|转弱阈值0(可成交),93,0.516129,1.426768,0.010867,1.010612,2.184613,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D2|转弱阈值1(可成交),93,0.516129,1.426768,0.010867,1.010612,2.184613,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D2|转弱阈值-2(可成交),93,0.516129,1.426768,0.010867,1.010612,2.184613,0
扩展网格_止损-5|止盈12|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值-1(可成交),93,0.526882,1.317709,0.010863,1.010221,2.084280,0
扩展网格_止损-6|止盈8|强势阈值2.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.516129,1.395521,0.010862,1.010200,2.135456,0
扩展网格_止损-6|止盈8|强势阈值2.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.516129,1.395521,0.010862,1.010200,2.135456,0
扩展网格_止损-5|止盈8|强势阈值0.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.419355,1.960414,0.010861,1.010057,2.032978,0
扩展网格_止损-6|止盈7|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值-1(可成交),93,0.537634,1.267968,0.010860,1.010020,2.150784,0
扩展网格_止损-6|止盈7|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值-1(可成交),93,0.537634,1.267968,0.010860,1.010020,2.150784,0
扩展网格_止损-7|止盈10|强势阈值0.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.430108,1.931239,0.010855,1.009495,2.059085,0
扩展网格_止损-5|止盈9|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.419355,1.973485,0.010852,1.009241,2.038695,0
扩展网格_止损-6|止盈8|强势阈值2.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.516129,1.394735,0.010844,1.008466,2.132040,0
扩展网格_止损-6|止盈8|强势阈值2.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.516129,1.394735,0.010844,1.008466,2.132040,0
扩展网格_止损-5|止盈9|强势阈值1.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.462366,1.685937,0.010841,1.008222,2.067933,0
扩展网格_止损-6|止盈12|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.526882,1.295007,0.010836,1.007709,2.047911,0
扩展网格_止损-6|止盈10|强势阈值1.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.451613,1.748289,0.010835,1.007696,2.031087,0
扩展网格_止损-6|止盈8|强势阈值0.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.419355,1.965434,0.010832,1.007406,2.037349,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.483871,1.562613,0.010830,1.007162,2.116766,0
扩展网格_止损-7|止盈12|强势阈值2.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.494624,1.543436,0.010822,1.006492,2.079104,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考d0|最多D5|转弱阈值-2(可成交),93,0.483871,1.561759,0.010811,1.005428,2.113380,0
扩展网格_止损-5|止盈12|强势阈值0.5|强势参考d0|最多D5|转弱阈值1(可成交),93,0.440860,1.840062,0.010807,1.005092,2.007480,0
扩展网格_止损-5|止盈12|强势阈值0.5|强势参考d0|最多D4|转弱阈值1(可成交),93,0.440860,1.840062,0.010807,1.005092,2.007480,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.548387,1.203988,0.010807,1.005066,2.126605,0
扩展网格_止损-5|止盈7|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.537634,1.251310,0.010801,1.004460,2.123814,0
扩展网格_止损-5|止盈8|强势阈值1.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.430108,1.886541,0.010795,1.003936,2.025966,0
扩展网格_止损-5|止盈8|强势阈值0.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.419355,1.967176,0.010786,1.003142,2.033896,0
扩展网格_止损-6|止盈9|强势阈值0.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.440860,1.810199,0.010785,1.003038,2.029859,0
扩展网格_止损-6|止盈12|强势阈值0.5|强势参考d0|最多D2|转弱阈值0(可成交),93,0.483871,1.565865,0.010785,1.003003,2.103904,0
扩展网格_止损-6|止盈12|强势阈值0.5|强势参考d0|最多D2|转弱阈值-1(可成交),93,0.483871,1.565865,0.010785,1.003003,2.103904,0
扩展网格_止损-6|止盈12|强势阈值0.5|强势参考d0|最多D2|转弱阈值-2(可成交),93,0.483871,1.565865,0.010785,1.003003,2.103904,0
扩展网格_止损-6|止盈12|强势阈值0.5|强势参考d0|最多D2|转弱阈值1(可成交),93,0.483871,1.565865,0.010785,1.003003,2.103904,0
扩展网格_止损-5|止盈9|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.430108,1.883183,0.010779,1.002432,2.027195,0
扩展网格_止损-5|止盈8|强势阈值0.5|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.408602,2.057093,0.010770,1.001654,2.029249,0
扩展网格_止损-5|止盈8|强势阈值0.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.419355,1.966169,0.010768,1.001408,2.030643,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考prev_close|最多D5|转弱阈值-2(可成交),93,0.537634,1.251552,0.010767,1.001315,2.113069,0
扩展网格_止损-5|止盈12|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.516129,1.348892,0.010763,1.001004,2.038967,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考prev_close|最多D4|转弱阈值0(可成交),93,0.548387,1.215058,0.010763,1.000951,2.062880,0
扩展网格_止损-7|止盈8|强势阈值0.0|强势参考prev_close|最多D4|转弱阈值0(可成交),93,0.548387,1.212119,0.010754,1.000137,2.116647,0
扩展网格_止损-3|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.408602,2.061274,0.010752,0.999974,2.036377,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.537634,1.314567,0.010742,0.998982,2.134975,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.537634,1.314567,0.010742,0.998982,2.134975,0
扩展网格_止损-6|止盈8|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.548387,1.199105,0.010738,0.998642,2.109832,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.516129,1.420917,0.010737,0.998577,2.126943,0
扩展网格_止损-7|止盈8|强势阈值0.0|强势参考prev_close|最多D5|转弱阈值0(可成交),93,0.548387,1.211445,0.010736,0.998403,2.113261,0
扩展网格_止损-5|止盈12|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值-1(可成交),93,0.526882,1.312723,0.010734,0.998221,2.061656,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值1(可成交),93,0.548387,1.218749,0.010732,0.998119,2.155003,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值0(可成交),93,0.548387,1.218749,0.010732,0.998119,2.155003,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值-2(可成交),93,0.548387,1.218749,0.010732,0.998119,2.155003,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考prev_close|最多D2|转弱阈值-1(可成交),93,0.548387,1.218749,0.010732,0.998119,2.155003,0
扩展网格_止损-5|止盈12|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.516129,1.342379,0.010732,0.998068,2.026860,0
扩展网格_止损-3|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.451613,1.743144,0.010730,0.997914,2.061177,0
扩展网格_止损-5|止盈6|强势阈值0.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.419355,1.949168,0.010728,0.997682,2.030453,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考prev_close|最多D4|转弱阈值0(可成交),93,0.537634,1.250980,0.010727,0.997650,2.115615,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考prev_close|最多D5|转弱阈值0(可成交),93,0.537634,1.250980,0.010727,0.997650,2.115615,0
扩展网格_止损-3|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.440860,1.818210,0.010726,0.997485,2.036961,0
扩展网格_止损-5|止盈6|强势阈值0.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.419355,1.941373,0.010724,0.997335,2.023782,0
扩展网格_止损-5|止盈7|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.526882,1.292115,0.010719,0.996877,2.095859,0
扩展网格_止损-5|止盈10|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.473118,1.619620,0.010707,0.995777,2.038235,0
扩展网格_止损-6|止盈9|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.548387,1.217729,0.010705,0.995544,2.126317,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.537634,1.245350,0.010705,0.995524,2.100424,0
扩展网格_止损-4|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.419355,1.964184,0.010703,0.995424,2.019088,0
扩展网格_止损-6|止盈9|强势阈值1.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.473118,1.614731,0.010701,0.995183,2.042644,0
扩展网格_止损-3|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.419355,1.961862,0.010700,0.995131,2.029062,0
扩展网格_止损-5|止盈9|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.537634,1.265171,0.010698,0.994938,2.123526,0
扩展网格_止损-5|止盈6|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.537634,1.247571,0.010697,0.994861,2.107996,0
扩展网格_止损-6|止盈10|强势阈值0.5|强势参考d0|最多D5|转弱阈值1(可成交),93,0.473118,1.635314,0.010694,0.994543,2.050024,0
扩展网格_止损-6|止盈10|强势阈值0.5|强势参考d0|最多D4|转弱阈值1(可成交),93,0.473118,1.635314,0.010694,0.994543,2.050024,0
扩展网格_止损-5|止盈7|强势阈值0.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.397849,2.109129,0.010689,0.994036,1.993790,0
扩展网格_止损-4|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.462366,1.662435,0.010681,0.993364,2.043679,0
扩展网格_止损-4|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.451613,1.733748,0.010677,0.992935,2.019668,0
扩展网格_止损-6|止盈10|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.548387,1.196948,0.010676,0.992908,2.085554,0
扩展网格_止损-6|止盈8|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.537634,1.261041,0.010676,0.992870,2.112356,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D2|转弱阈值1(可成交),93,0.494624,1.491900,0.010672,0.992467,2.126775,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D2|转弱阈值0(可成交),93,0.494624,1.491900,0.010672,0.992467,2.126775,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D2|转弱阈值-1(可成交),93,0.494624,1.491900,0.010672,0.992467,2.126775,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D2|转弱阈值-2(可成交),93,0.494624,1.491900,0.010672,0.992467,2.126775,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.516129,1.365713,0.010664,0.991787,2.104825,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值-2(可成交),93,0.516129,1.365681,0.010664,0.991712,2.113726,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值-2(可成交),93,0.516129,1.365681,0.010664,0.991712,2.113726,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考prev_close|最多D4|转弱阈值-2(可成交),93,0.537634,1.250515,0.010661,0.991429,2.090353,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考d0|最多D2|转弱阈值1(可成交),93,0.537634,1.279064,0.010652,0.990592,2.138954,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考d0|最多D2|转弱阈值0(可成交),93,0.537634,1.279064,0.010652,0.990592,2.138954,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考d0|最多D2|转弱阈值-1(可成交),93,0.537634,1.279064,0.010652,0.990592,2.138954,0
扩展网格_止损-6|止盈6|强势阈值2.0|强势参考d0|最多D2|转弱阈值-2(可成交),93,0.537634,1.279064,0.010652,0.990592,2.138954,0
扩展网格_止损-4|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.430108,1.870178,0.010651,0.990581,2.011836,0
扩展网格_止损-7|止盈12|强势阈值2.0|强势参考d0|最多D5|转弱阈值-2(可成交),93,0.494624,1.534429,0.010636,0.989116,2.046289,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.516129,1.416216,0.010633,0.988866,2.100025,0
扩展网格_止损-5|止盈10|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.451613,1.759842,0.010631,0.988649,2.026049,0
扩展网格_止损-5|止盈6|强势阈值0.0|强势参考prev_close|最多D5|转弱阈值0(可成交),93,0.526882,1.296514,0.010626,0.988196,2.094427,0
扩展网格_止损-5|止盈6|强势阈值0.0|强势参考prev_close|最多D4|转弱阈值0(可成交),93,0.526882,1.296514,0.010626,0.988196,2.094427,0
扩展网格_止损-7|止盈8|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值-1(可成交),93,0.548387,1.219620,0.010624,0.988036,2.110133,0
扩展网格_止损-7|止盈8|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值-1(可成交),93,0.548387,1.219620,0.010624,0.988036,2.110133,0
扩展网格_止损-5|止盈10|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.419355,1.961048,0.010623,0.987926,1.986281,0
扩展网格_止损-7|止盈12|强势阈值0.0|强势参考prev_close|最多D4|转弱阈值-1(可成交),93,0.537634,1.251647,0.010621,0.987723,2.022175,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.526882,1.286898,0.010614,0.987127,2.073723,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考prev_close|最多D4|转弱阈值-1(可成交),93,0.537634,1.251344,0.010612,0.986958,2.021651,0
扩展网格_止损-5|止盈6|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.526882,1.290268,0.010602,0.986003,2.082559,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.537634,1.240755,0.010592,0.985031,2.078973,0
扩展网格_止损-5|止盈9|强势阈值0.5|强势参考d0|最多D4|转弱阈值1(可成交),93,0.451613,1.757817,0.010591,0.984978,2.032128,0
扩展网格_止损-5|止盈9|强势阈值0.5|强势参考d0|最多D5|转弱阈值1(可成交),93,0.451613,1.757817,0.010591,0.984978,2.032128,0
扩展网格_止损-5|止盈10|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.440860,1.823289,0.010586,0.984511,2.008750,0
扩展网格_止损-5|止盈7|强势阈值0.0|强势参考prev_close|最多D4|转弱阈值0(可成交),93,0.526882,1.294960,0.010584,0.984343,2.078862,0
扩展网格_止损-3|止盈6|强势阈值0.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.419355,1.953152,0.010578,0.983758,2.009910,0
扩展网格_止损-3|止盈6|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.419355,1.953152,0.010578,0.983758,2.009910,0
扩展网格_止损-6|止盈8|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.548387,1.193168,0.010568,0.982858,2.077789,0
扩展网格_止损-5|止盈12|强势阈值1.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.462366,1.677442,0.010568,0.982845,1.966104,0
扩展网格_止损-5|止盈12|强势阈值1.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.462366,1.677442,0.010568,0.982845,1.966104,0
扩展网格_止损-5|止盈7|强势阈值0.0|强势参考prev_close|最多D5|转弱阈值0(可成交),93,0.526882,1.294261,0.010566,0.982609,2.075537,0
扩展网格_止损-5|止盈8|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.537634,1.240213,0.010562,0.982252,2.075062,0
扩展网格_止损-6|止盈10|强势阈值0.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.440860,1.798683,0.010556,0.981723,1.977673,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D5|转弱阈值-2(可成交),93,0.505376,1.431752,0.010554,0.981549,2.090485,0
扩展网格_止损-5|止盈6|强势阈值2.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.505376,1.431752,0.010554,0.981549,2.090485,0
扩展网格_止损-6|止盈9|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.548387,1.192576,0.010551,0.981282,2.076208,0
扩展网格_止损-5|止盈10|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.430108,1.871314,0.010550,0.981117,1.975077,0
扩展网格_止损-6|止盈9|强势阈值0.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.430108,1.867275,0.010548,0.980950,1.980387,0
扩展网格_止损-6|止盈10|强势阈值1.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.548387,1.194556,0.010539,0.980149,2.063725,0
扩展网格_止损-7|止盈10|强势阈值0.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.430108,1.913597,0.010539,0.980119,2.004587,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考prev_close|最多D5|转弱阈值-1(可成交),93,0.537634,1.248580,0.010537,0.979987,2.009024,0
扩展网格_止损-5|止盈8|强势阈值1.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.430108,1.872821,0.010531,0.979407,1.987424,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考prev_close|最多D5|转弱阈值1(可成交),93,0.537634,1.258821,0.010531,0.979345,2.096989,0
扩展网格_止损-5|止盈7|强势阈值2.0|强势参考prev_close|最多D4|转弱阈值1(可成交),93,0.537634,1.258821,0.010531,0.979345,2.096989,0
