代码,开仓日,D0开盘_买入价,触发规则,信号D,信号日开盘,信号日收盘,信号口径,成交D,卖出价_可成交,若信号日即成交,单笔收益率,单笔收益率pct
600345.SH,20260105,36.0,D1收盘不强,1,34.65,34.79,close,1,34.79,是,-0.033611,-3.3611
600408.SH,20251203,5.08,D1开盘止盈,1,5.73,5.2,open,1,5.73,是,0.127953,12.7953
600482.SH,20260309,38.47,D1收盘不强,1,37.85,37.54,close,1,37.54,是,-0.024175,-2.4175
600498.SH,20260105,33.81,D3到期收盘,3,35.97,37.5,close,3,37.5,是,0.109139,10.9139
600673.SH,20251210,24.0,D1收盘不强,1,24.1,22.8,close,1,22.8,是,-0.05,-5.0
600855.SH,20260415,19.42,D3到期收盘,3,20.42,21.63,close,3,21.63,是,0.1138,11.38
600877.SH,20260128,25.55,D1收盘不强,1,24.58,23.41,close,1,23.41,是,-0.083757,-8.3757
600955.SH,20260121,22.0,D1开盘止损,1,20.39,20.0,open,1,20.39,是,-0.073182,-7.3182
600986.SH,20260121,10.09,D2开盘止盈,2,11.58,12.05,open,2,11.58,是,0.147671,14.7671
600989.SH,20260312,32.8351,D2收盘转弱,2,34.2352,33.6535,close,2,33.6535,是,0.024925,2.4925
601069.SH,20260130,44.82,D1开盘止损,1,40.25,40.25,open,2,39.69,否,-0.114458,-11.4458
601208.SH,20251224,27.8955,D2收盘转弱,2,29.5493,28.1545,close,2,28.1545,是,0.009285,0.9285
601778.SH,20260311,5.78,D2收盘转弱,2,6.1,5.8,close,2,5.8,是,0.00346,0.346
601868.SH,20260312,3.52,D1开盘止盈,1,3.8,3.74,open,1,3.8,是,0.079545,7.9545
601877.SH,20251107,33.0,D2收盘转弱,2,33.83,33.27,close,2,33.27,是,0.008182,0.8182
601888.SH,20251111,88.3702,D3收盘转弱,3,89.716,88.0014,close,3,88.0014,是,-0.004173,-0.4173
603026.SH,20251128,92.06,D1收盘不强,1,90.8,92.23,close,1,92.23,是,0.001847,0.1847
603067.SH,20251208,29.69,D1收盘不强,1,28.58,28.62,close,1,28.62,是,-0.036039,-3.6039
603093.SH,20260302,20.03,D3开盘止盈,3,22.01,21.7,open,3,22.01,是,0.098852,9.8852
603106.SH,20251203,13.38,D1收盘不强,1,12.85,13.04,close,1,13.04,是,-0.025411,-2.5411
